Title,Artist,year
Express Yourself,Madonna,1989
Ring My Bell,Collette,1989
Toy Soldiers,Martika,1989
Handle With Care,The Traveling Wilburys,1989
I'll Be Loving You,New Kids On The Block,1989
The Best,Tina Turner,1989
I Don't Want A Lover,Texas,1989
Stuck On You,Paul Norton,1989
I'm On My Way,The Proclaimers,1989
We Didn't Start The Fire,Billy Joel,1989
Funky Cold Medina,Tone Loc,1989
She Has To be Loved,Jenny Morris,1989
Rock And Roll Music,Mental As Anything,1989
Wild Thing,Tone Loc,1989
Now You're In Heaven,Julian Lennon,1989
Orinoco Flow,Enya,1989
Right Back Where We Started From,Sinitta,1989
One Summer,Daryl Braithwaite,1989
Iko Iko,The Belle Stars,1989
Cherish,Madonna,1989
Kiss,The Art Of Noise,1989
Hand On Your Heart,Kylie Minogue,1989
Chained To The Wheel,The Black Sorrows,1989
Nothing Compares 2 U,Sinéad O'Connor,1990
U Can't Touch This,M.C. Hammer,1990
Vogue,Madonna,1990
It Must Have Been Love,Roxette,1990
All I Wanna Do Is Make Love To You,Heart,1990
Opposites Attract,Paula Abdul,1990
How Am I Supposed to Live Without You,Michael Bolton,1990
Unchained Melody,Righteous Brothers,1990
Girl I'm Gonna Miss You,Milli Vanilli,1990
Love Shack,The B-52's,1990
Hold On,Wilson Phillips,1990
Don't Know Much,Linda Ronstadt featuring Aaron Neville,1990
Black Velvet,Alannah Myles,1990
Ride On Time,Black Box,1990
Mona,Craig McLachlan & Check 1-2,1990
Joey,Concrete Blonde,1990
I Need Your Body,Tina Arena,1990
Crying in the Chapel,Peter Blakeley,1990
Janie's Got a Gun,Aerosmith,1990
Blaze Of Glory,Jon Bon Jovi,1990
When I See You Smile,Bad English,1990
Epic,Faith No More,1990
Lay Down Your Guns,Jimmy Barnes Feat. The Living End,1990
Lambada,Kaoma,1990
Show No Mercy,Mark Williams,1990
Infinity,Guru Josh,1990
Pump Up the Jam,Technotronic featuring Felly,1990
Unskinny Bop,Poison,1990
Spin That Wheel,Hi Tek 3,1990
Jukebox In Siberia,Skyhooks,1990
I Don't Want To Be With Nobody But You,Absent Friends,1990
Love Will Lead You Back,Taylor Dayne,1990
Step by Step,New Kids On The Block,1990
Ice Ice Baby,Vanilla Ice,1990
Blue Sky Mine,Midnight Oil,1990
Close To You,Maxi Priest,1990
I Want That Man,Deborah Harry,1990
Groove Is In The Heart,Deee-Lite,1990
Dangerous,Roxette,1990
Summer Rain,Belinda Carlisle,1990
How Can We Be Lovers,Michael Bolton,1990
Suicide Blonde,INXS,1990
Thunderstruck,AC/DC,1990
Chain Reaction,John Farnham,1990
Hanky Panky,Madonna,1990
Blame It On The Rain,Milli Vanilli,1990
Sacrifice,Elton John,1990
Cradle Of Love,Billy Idol,1990
I Don't Know Anybody Else,Black Box,1990
Bust a Move,Young MC,1990
(everything I Do) I Do It For You,Bryan Adams,1991
Tingles,Ratcat,1991
Grease Megamix,Olivia Newton-John & John Travolta,1991
"Horses, The",Daryl Braithwaite,1991
You Could Be Mine,Guns n' Roses,1991
Read My Lips,Melissa,1991
More Than Words,Extreme,1991
I've Been Thinking About You,Londonbeat,1991
Joyride,Roxette,1991
The Shoop Shoop Song (It's In His Kiss),Cher,1991
Do the Bartman,The Simpsons,1991
Unforgettable,"Natalie Cole With Nat ""King"" Cole",1991
I'm Too Sexy,R.S.F. (Right Said Fred),1991
Love... Thy Will Be Done,Martika,1991
I Touch Myself,Divinyls,1991
Rush,Big Audio Dynamite II,1991
Fantasy,Black Box,1991
Rhythm Of My Heart,Rod Stewart,1991
Rush Rush,Paula Abdul,1991
Better,The Screaming Jets,1991
I Wanna Sex You Up,Color Me Bad,1991
Ice Ice Baby,Vanilla Ice,1991
Sadness Part 1,Enigma,1991
Here I Am (Come and Take Me),UB40,1991
3am Eternal,The KLF,1991
Gonna Make You Sweat,C+C Music Factory,1991
Sucker Dj,Dimples D,1991
Things That Make You Go Hmmmm,C+C Music Factory,1991
Treaty (filthy Lucre Min),Yothu Yindi,1991
Falling,Julee Cruise,1991
Baby Baby,Amy Grant,1991
Don't Go Now,Ratcat,1991
Wiggle It,2 In A Room,1991
Black Or White,Michael Jackson,1991
Unbelievable,E.M.F.,1991
I've Got To Go Now,Toni Childs,1991
Ring Ring Ring (Ha Ha Hey),De La Soul,1991
When Your Love Is Gone,Jimmy Barnes,1991
Where Are You Now,Roxus,1991
Pump It (nice An' Hard),Icy Blu,1991
Love Rears Its Ugly Head,Living Colour,1991
Last Train To Trancentral,The KLF,1991
Wind of Change,Scorpions,1991
Just Like You,Robbie Nevil,1991
Unchained Melody,Righteous Brothers,1991
Crazy,Seal,1991
Now That We Found Love,Heavy D & The Boyz,1991
The Fly,U2,1991
Because I Love You (The Postman Song),Stevie B.,1991
Enter Sandman,Metallica,1991
Achy Breaky Heart,Billy Ray Cyrus,1992
November Rain,Guns n' Roses,1992
End Of The Road,Boyz II Men,1992
To Be With You,Mr. Big,1992
Amigos Para Siempre (friends For Life),Carreras & Brightman,1992
"Best Things In Life Are Free, The",Luther Vandross/Janet Jackson,1992
Please Don't Go,Kws,1992
The Day You Went Away,Wendy Matthews,1992
Under The Bridge,Red Hot Chili Peppers,1992
Hazard,Richard Marx,1992
Save the Best for Last,Vanessa Williams,1992
Jump,kriss kross,1992
As Ugly As They Wanna Be,Ugly Kid Joe,1992
Saltwater,Julian Lennon,1992
Rhythm Is a Dancer,Snap,1992
Take It From Me,Girlfriend,1992
I Will Always Love You,Whitney Houston,1992
Damn I Wish I Was Your Lover,Sophie B. Hawkins,1992
Too Funky,George Michael,1992
Ordinary Angels,Frente,1992
Stay,Shakespear's Sister,1992
Way Out West,James Blundell And James Reyne,1992
Sometimes Love Just Ain't Enough,Patty Smyth,1992
Love You Right,Euphoria,1992
Humpin' Around,Bobby Brown,1992
That Word (love),Rockmelons featuring Deni Hines,1992
Life Is a Highway,Tom Cochrane,1992
Get Ready for This,2 Unlimited,1992
Accidently Kelly Street,Frente,1992
Would I Lie To You,Charles & Eddie,1992
Love Is In The Air,John Paul Young,1992
Baby Got Back,Sir Mix-a-Lot,1992
Ain't No Doubt,Jimmy Nail,1992
White Men Can't Jump,Riff,1992
Knockin' On Heaven's Door,Guns N' Roses,1992
I Can Feel It,Radio Freedom,1992
I'll Be There,Mariah Carey,1992
Alive,Pearl Jam,1992
Justified and Ancient,The KLF feat. Tammy Wynette,1992
Everything's Alright,"Farnham, Ceberano, Stevens",1992
Cry,Lisa Edwards,1992
Not A Day Goes By,Rick Price,1992
Heaven Knows,Rick Price,1992
Be My Baby,Teen Queens,1992
This Used To Be My Playground,Madonna,1992
Smells Like Teen Spirit,Nirvana,1992
Marvellous!,The 12th Man,1992
Let's Talk About Sex,Salt-N-Pepa,1992
Dizzy,Vic Reeves & The Wonder Stuff,1992
How Do You Do!,Roxette,1992
I'd Do Anything for Love (But I Won't Do That),Meat Loaf,1993
I Will Always Love You,Whitney Houston,1993
You Don't Treat Me No Good,Sonia Dada,1993
Sweat,Inner Circle,1993
Can't Help Falling in Love,UB40,1993
Informer,Snow,1993
What's Up,4 Non Blondes,1993
Cat's In The Cradle,Ugly Kid Joe,1993
All That She Wants,Ace Of Base,1993
Please Forgive Me,Bryan Adams,1993
Are You Gonna Go My Way?,Lenny Kravitz,1993
Gimme Little Sign,Peter Andre,1993
The River Of Dreams,Billy Joel,1993
December 1963 (oh What A Night),The Four Seasons,1993
Freak Me / Freak Me,Silk,1993
Mr. Vain,Culture Beat,1993
That's the Way Love Goes,Janet Jackson,1993
Boom! Shake The Room,Jazzy Jeff & Fresh Prince,1993
Can't Get Enough Of Your Love,Taylor Dayne,1993
Dreams,Gabrielle,1993
If I Can't Have You,Kim Wilde,1993
Stone Cold,Jimmy Barnes,1993
Easy,Faith No More,1993
How Do You Talk To An Angel,The Heights,1993
Killing In The Name,Rage Against The Machine,1993
Three Little Pigs,Green Jelly,1993
Two Princes,Spin Doctors,1993
Layla,Eric Clapton,1993
"Floor, The",Johnny Gill,1993
No Limit,2 Unlimited,1993
House Of Love,East 17,1993
Give In To Me,Michael Jackson,1993
Everybody Hurts,R.e.m.,1993
Oh Carolina,Shaggy,1993
"Key, The Secret, The",Urban Cookie Collective,1993
November Rain,Guns n' Roses,1993
Tease Me,Chaka Demus And Pliers,1993
"Hitman, The",A.B. Logic,1993
Rain,Madonna,1993
You Ain't Thinking (about Me),Sonia Dada,1993
If I Ever Fall In Love,Shai,1993
Dreamlover,Mariah Carey,1993
This Is It,Dannii,1993
The Right Kind of Love,Jeremy Jordan,1993
Runaway Train,Soul Asylum,1993
Deep,East 17,1993
Bed Of Roses,Bon Jovi,1993
People Everyday,Arrested Development,1993
Soul to Squeeze,Red Hot Chili Peppers,1993
A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,1993
Love Is All Around,Wet Wet Wet,1994
I Swear,All 4 One,1994
Always,Bon Jovi,1994
It's Alright,East 17,1994
The Sign,Ace of Base,1994
Power Of Love,Celine Dion,1994
I'll Make Love To You,Boyz Ii Men,1994
Please Forgive Me,Bryan Adams,1994
Tomorrow,Silverchair,1994
All For Love,"Bryan Adams, Rod Stewart & Sting",1994
100% Pure Love,Crystal Waters,1994
Slave To the Music,Twenty 4 Seven,1994
Give It Up,Cut 'n' Move,1994
Mmm Mmm Mmm Mmm,Crash Test Dummies,1994
Shoop,Salt 'N' Pepa,1994
Without You,Mariah Carey,1994
Swamp Thing,The Grid,1994
Right In The Night (Fall In Love With Music),Jam & Spoon,1994
"Baby, I Love Your Way",Big Mountain,1994
Breathe Again,Toni Braxton,1994
Moving On Up,M-People,1994
Confide In Me,Kylie Minogue,1994
The Most Beautiful Girl In the World,Symbol,1994
Whatta Man,Salt 'N' Pepa,1994
Sing Hallelujah,Dr. Alban,1994
Asshole,Denis Leary,1994
ENDLESS LOVE,LUTHER VANDROSS WITH MARIAH CAREY,1994
Can You Feel The Love Tonight,Elton John,1994
7 Seconds,Youssou N'Dour & Neneh Cherry,1994
Chains,Tina Arena,1994
Said I Loved You... But I Lied,Michael Bolton,1994
Things Can Only Get Better,D:Ream,1994
Dum Da Dum,Melodie Mc,1994
All I Wanna Do,Sheryl Crow,1994
Stay (I Missed You),Lisa Loeb & Nine Stories,1994
Boom! Shake The Room,Jazzy Jeff & Fresh Prince,1994
Stay,Eternal,1994
Zombie,The Cranberries,1994
Streets Of Philadelphia,Bruce Springsteen,1994
I Like To Move It,Reel 2 Real,1994
I'll Remember,Madonna,1994
Feelin' Alright,E.Y.C.,1994
"Rhythm Of The Night, The",Corona,1994
Doop,Doop,1994
I'll Stand By You,Pretenders,1994
Secret,Madonna,1994
Regulate,Warren G & Nate Dogg,1994
Hey Mr. D.j.,Zhane,1994
Son Of A Gun,Jx,1994
Can We Talk,Tevin Campbell,1994
Gangsta's Paradise,Coolio,1995
Stayin' Alive,N-Trance,1995
Kiss From A Rose,Seal,1995
Mouth,Merril Bainbridge,1995
Another Night,Real McCoy,1995
Have You Ever Really Loved,Bryan Adams,1995
Zombie,The Cranberries,1995
Let's Groove,CDB,1995
Back For Good,Take That,1995
You Are Not Alone,Michael Jackson,1995
Think Twice,Celine Dion,1995
Insensitive,Jann Arden,1995
Boom Boom Boom,The Outhere Brothers,1995
Here's Johnny,Hocus Pocus,1995
Alice Who The F..k Is Alice,The Steppers,1995
Waterfalls,T.L.C.,1995
Total Eclipse of the Heart,Nicki French,1995
Fantasy,Mariah Carey,1995
Tomorrow,Silverchair,1995
You Oughta Know,"Morissette, Alanis",1995
Sukiyaki,4PM,1995
Here Comes The Hotstepper,Ini Kamoze,1995
Mysterious Girl,Peter Andre,1995
Under The Water,Merril Bainbridge,1995
Shy Guy,Diana King,1995
Strong Enough,Sheryl Crow,1995
You Belong To Me,JX,1995
Stay Another Day,East 17,1995
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,1995
Excalibur,F.c.b.,1995
Pure Massacre,Silverchair,1995
One Sweet Day,Mariah Carey With Boyz II Men,1995
Don't Stop (Wiggle Wiggle),The Outhere Brothers,1995
Cotton Eye Joe,Rednex,1995
Self Esteem,Offspring,1995
Run Away,Real McCoy,1995
Runaway,Janet Jackson,1995
Scatman - Remixes,Scatman John,1995
Set You Free,N-Trance,1995
When I Come Around,Green Day,1995
Where The Wild Roses Grow,Nick Cave And Kylie Minogue,1995
It's Alright,Deni Hines,1995
Right Type Of Mood,Herbie,1995
"Baby, Baby",Corona,1995
Beautiful In My Eyes,Joshua Kadison,1995
As I Lay Me Down,Sophie B. Hawkins,1995
Scream - Volume 1,Michael Jackson,1995
Let Her Cry,Hootie & The Blowfish,1995
Somebody's Crying,Chris Isaak,1995
I've Got A Little Something For You,MN8,1995
Macarena (remix),Los Del Rio,1996
Killing Me Softly,Fugees (Refugee Camp),1996
Because You Loved Me,Celine Dion,1996
How Bizarre,O.M.C.,1996
Wannabe,Spice Girls,1996
One Of Us,Joan Osborne,1996
Missing,Everything But The Girl,1996
Return Of The Mack,Mark Morrison,1996
What's Love Got To Do With It,Warren G. (Feat. Adina Howard),1996
You're Makin Me High,Toni Braxton,1996
X-files Theme,Triple X,1996
I Want You,Savage Garden,1996
I Love You Always Forever,Donna Lewis,1996
Macarena,Los Del Mar,1996
Give Me One Reason,Tracy Chapman,1996
Boombastic,Shaggy,1996
Sexual Healing,Max-A-Million,1996
Be My Lover,La Bouche,1996
Wonderwall,Oasis,1996
Fastlove,George Michael,1996
Theme From Mission Impossi,Larry Mullen & Adam Clayton,1996
Just A Girl,No Doubt,1996
Ooh Aah...just A Little Bit,Gina G,1996
"I'll Be There For You (theme From ""friends"")/fixin' To Blow Unrel",The Rembrandts,1996
Ironic,Alanis Morissette,1996
Where Do You Go,No Mercy,1996
Runaway,The Corrs,1996
Father & Son,Boyzone,1996
"1, 2, 3, 4 (Sumpin' New)",Coolio,1996
Spaceman,Babylon Zoo,1996
Anything,3T,1996
Children,Robert Miles,1996
Nobody Knows,Tony Rich Project,1996
California Love,2Pac,1996
Sometimes When We Touch,Newton,1996
Let's Make A Night To Remember,Bryan Adams,1996
Boom Boom Boom,The Outhere Brothers,1996
Breakfast At Tiffany's,Deep Blue Something,1996
Tha Crossroads,Bone Thugs-N-Harmony,1996
One Sweet Day,Mariah Carey With Boyz II Men,1996
Diggin' On You,T.L.C.,1996
It's All Coming Back to Me Now,Céline Dion,1996
Get Down On It,Peter Andre (Feat. PTP),1996
Until It Sleeps,Metallica,1996
That Girl,Maxi Priest Featuring Shaggy,1996
Mother Mother,Tracy Bonham,1996
Sweet Dreams,La Bouche,1996
Wrap Me Up,Alex Party,1996
I Live For You,Chynna Phillips,1996
Blue,LeAnn Rimes,1996
Something About The Way.../candle 97,Elton John,1997
Barbie Girl,Aqua,1997
Tubthumping,Chumbawamba,1997
I'll Be Missing You,Puff Daddy & Faith Evans (Feat. 112),1997
Mmmbop,Hanson,1997
Men In Black,Will Smith,1997
"Truly, Madly, Deeply",Savage Garden,1997
Don't Speak,No Doubt,1997
Breathe,The Prodigy,1997
Break My Stride,Unique II,1997
Da Ya Think I'm Sexy?,N-Trance,1997
How Do I Live,Trisha Yearwood,1997
Where's The Love,Hanson,1997
Doctor Jones,Aqua,1997
I Will Come To You,Hanson,1997
Bitch,Meredith Brooks,1997
To The Moon & Back,Savage Garden,1997
Don't Let Go (love),En Vogue,1997
Sexy Eyes,Whigfield,1997
Freak,Silverchair,1997
I Finally Found Someone,Bryan Adams & Barbra Streisand,1997
Pony,Ginuwine,1997
Last Night,Az Yet,1997
Coco Jamboo,Mr President,1997
You Were Meant For Me,Jewel,1997
Everybody (backstreet's Back),Backstreet Boys,1997
"How Come, How Long",Babyface,1997
Every Time You Cry,John Farnham & Human Nature,1997
One More Time,Real McCoy,1997
When I Die,No Mercy,1997
Hard To Say I'm Sorry,Az Yet,1997
2 Become 1,Spice Girls,1997
Push,Matchbox 20,1997
Unbreak My Heart,Toni Braxton,1997
Your Woman,White Town,1997
Spice Up Your Life,Spice Girls,1997
I Say A Little Prayer,Diana King,1997
When Doves Cry,Quindon Tarver,1997
Alone,Bee Gees,1997
As Long As You Love Me,Backstreet Boys,1997
Burn,Tina Arena,1997
Song 2,Blur,1997
Twisted,Keith Sweat,1997
What's Love Got To Do With It,Warren G. (Feat. Adina Howard),1997
Say You'll Be There,Spice Girls,1997
Tell Him,Barbra Streisand & Celine Dion,1997
Foolish Games,Jewel,1997
(if You're Not In It For Love) I'm Outta Here,Shania Twain,1997
You Sexy Thing,T. Shirt,1997
Honey,Mariah Carey,1997
Mo Money Mo Problems,Notorious B.I.G.,1997
Lovefool,The Cardigans,1997
C U When U Get There,Coolio,1997
Even When I'm Sleeping,Leonardo's Bride,1997
"Break Me, Shake Me",Savage Garden,1997
Don't Cry For Me Argentina,Madonna,1997
Don't Say Goodbye,Human Nature,1997
I Shot The Sheriff,Warren G,1997
Semi-charmed Life,Third Eye Blind,1997
One Headlight,The Wallflowers,1997
Wannabe,Spice Girls,1997
Bitter Sweet Symphony,The Verve,1997
No Diggity,Blackstreet,1997
Walkin' On The Sun,Smash Mouth,1997
Professional Widow (it's Got To Be Big),Tori Amos,1997
Secret Garden,Bruce Springsteen,1997
Step By Step,Whitney Houston,1997
Young Hearts Run Free,Kym Mazelle,1997
I Need You,3T,1997
Around The World,Daft Punk,1997
Remember Me,Blue Boy,1997
Abuse Me,Silverchair,1997
The Memory Remains,"Metallica,Marianne Faithfull",1997
Got 'til It's Gone,Janet Jackson,1997
Fire Water Burn,Bloodhound Gang,1997
Blood On The Dance Floor,Michael Jackson,1997
Cemetery,Silverchair,1997
All I Wanna Do,Dannii,1997
Ashes To Ashes,Faith No More,1997
I Am I Feel,Alisha's Attic,1997
Macarena Christmas,Los Del Rio,1997
Where Do You Go,No Mercy,1997
Love Rollercoaster,Red Hot Chili Peppers,1997
Sunday Morning,No Doubt,1997
Gimme Gimme,Whigfield,1997
Gone Away,The Offspring,1997
Insomnia,Faithless,1997
If You Could Only See,Tonic,1997
Beautiful People,Marilyn Manson,1997
The End Is The Beginning Is The End,The Smashing Pumpkins,1997
4 Seasons Of Loneliness,Boyz II Men,1997
Nightmare,Brainbug,1997
Runnin',2 Pac ft. The Notorious B.I.G.,1997
Wishes,Human Nature,1997
Mama / Who Do You Think You Are,Spice Girls,1997
Together Again,Janet Jackson,1997
Discotheque,U2,1997
Calypso,Spiderbait,1997
Forever,Damage,1997
C'mon N' Ride It (the Train),Quad City DJ's,1997
Maria,Ricky Martin,1998
It's Like That,Run DMC Vs. Jason Nevins,1998
Iris,Goo Goo Dolls,1998
I Don't Want To Miss A Thing,Aerosmith,1998
Never Ever,All Saints,1998
Second Solution / Prisoner Of Society,The Living End,1998
Crush,Jennifer Paige,1998
Redundant / Time Of Your Life,Green Day,1998
You're Still The One,Shania Twain,1998
From This Moment On,Shania Twain,1998
High,Lighthouse Family,1998
All My Life,K-Ci & JoJo,1998
Ghetto Superstar [This Is What You Are],Pras Michael,1998
My Heart Will Go On,Celine Dion,1998
"5, 6, 7, 8",Steps,1998
Pretty Fly (for A White Guy),The Offspring,1998
The Boy Is Mine,Brandy & Monica,1998
Last Thing On My Mind,Steps,1998
Lollipop,Aqua,1998
Doctor Jones,Aqua,1998
Rollercoaster,B*Witched,1998
Finally Found,Honeyz,1998
Viva Forever,Spice Girls,1998
If You Could Read My Mind,Stars On 54,1998
When The Lights Go Out,Five,1998
C'est La Vie,B*Witched,1998
Together Again,Janet Jackson,1998
As Long As You Love Me,Backstreet Boys,1998
Buses & Trains,Bachelor Girl,1998
You Sexy Thing,T. Shirt,1998
Everybody Get Up,Five,1998
All I Have To Give,Backstreet Boys,1998
I'll Never Break Your Heart,Backstreet Boys,1998
Horny,Mousse T. Vs Hot 'n' Juicy,1998
This Is How We Party,S.O.A.P.,1998
Music Sounds Better With You,Stardust,1998
Torn,Natalie Imbruglia,1998
Life,Des'ree,1998
Stop,Spice Girls,1998
Kung Fu Fighting,Bus Stop,1998
Cherish,Pappa Bear,1998
Big Mistake,Natalie Imbruglia,1998
Believe,Cher,1998
Frozen,Madonna,1998
Under The Bridge / Lady Marmalade,All Saints,1998
Tubthumping,Chumbawamba,1998
You Make Me Wanna,Usher,1998
"Way, The",Fastball,1998
Thank U,Alanis Morissette,1998
Turn Back Time,Aqua,1998
Fight For Your Right (to Party),N.Y.C.C.,1998
Gettin' Jiggy Wit It,Will Smith,1998
Brick,Ben Folds Five,1998
"Impression That I Get, The",The Mighty Mighty Bosstones ,1998
Sweetest Thing,U2,1998
Wayne G Presents Twisted Featuring Stewart Who?,Wayne G,1998
Ray Of Light,Madonna,1998
Sway,Bic Runga,1998
Sex And Candy,Marcy Playground,1998
No Matter What,Boyzone,1998
Pash,Kate Ceberano,1998
Come With Me,Puff Daddy featuring Jimmy Page,1998
Gotta Be ..movin' On Up,P.M. Dawn Featuring Ky-Mani,1998
The Unforgiven II,Metallica,1998
Casanova,Ultimate Kaos,1998
I Wanna Be The Only One,Eternal,1998
Polyester Girl,Regurgitator,1998
Outside,George Michael,1998
Crush On You,Aaron Carter,1998
When You're Gone,Bryan Adams featuring Melanie C.,1998
One Week,Barenaked Ladies,1998
I'm Your Angel,Celine Dion & R. Kelly,1998
All Cried Out,Allure,1998
Ladidi Ladida,S.O.A.P.,1998
Too Much,Spice Girls,1998
Fuel,Metallica,1998
Cruel,Human Nature,1998
The Things I Love In You,Cold Chisel,1998
When You Believe,Mariah Carey & Whitney Houston,1998
Pushing Buttons,Grinspoon,1998
Turn the Page,Metallica,1998
Feel It,The Tamperer featuring Maya,1998
Too Close,Next,1998
Weird,Hanson,1998
I Know Where It's At,All Saints,1998
Coco Jamboo,Mr. President,1998
Grease The Remix Ep,Olivia Newton-John & John Travolta,1998
It's Tricky,Run DMC Vs Jason Nevins,1998
I Don't Like It,Pauline Pantsdown,1998
Cry Remixes,The Mavis's,1998
Uh La La La,Alexia,1998
Now I Can Dance,Tina Arena,1998
Jackie,B.Z. featuring Joanne,1998
Can't Get Enough Of You Baby,Smash Mouth,1998
Walkin' On The Sun,Smash Mouth,1998
Thinking Of You,Hanson,1998
Just The Two Of Us,Will Smith,1998
Because We Want To,Billie,1998
Goodbye,Spice Girls,1998
Addicted To Bass,Josh Abrahams and Amiel Daemion,1998
Mambo No.5,Lou Bega,1999
Baby One More Time,Britney Spears,1999
Blue,Eiffel 65,1999
Last Kiss,Pearl Jam,1999
Pretty Fly (for A White Guy),The Offspring,1999
Believe,Cher,1999
Don't Call Me Baby,Madison Avenue,1999
That Don't Impress Me Much,Shania Twain,1999
Why Don't You Get A Job?,The Offspring,1999
Genie In A Bottle,Christina Aguilera,1999
Smooth,Santana,1999
No Scrubs,TLC,1999
If Ya Gettin' Down,Five,1999
Bring It All Back,S Club 7,1999
When You Say Nothing At All,Ronan Keating,1999
If You Had My Love,Jennifer Lopez,1999
We Like To Party,Vengaboys,1999
"Animal Song, The",Savage Garden,1999
Kiss Me,Sixpence None The Richer,1999
2 Times,Ann Lee,1999
Livin' La Vida Loca,Ricky Martin,1999
Sometimes,Britney Spears,1999
"Millenium Prayer, The",Cliff Richard,1999
Boom Boom Boom Boom,Vengaboys,1999
I Want It That Way,Backstreet Boys,1999
Larger Than Life,Backstreet Boys,1999
I Knew I Loved You,Savage Garden,1999
Sister,S2s,1999
Anthem For The Year 2000,Silverchair,1999
Touch It,Monifah,1999
All Star,Smash Mouth,1999
Waiting For Tonight,Jennifer Lopez,1999
Jackie,B.z.,1999
Beautiful Stranger,Madonna,1999
Silence,Delerium,1999
Weir,Killing Heidi,1999
Unpretty,T.L.C.,1999
9pm (till I Come),ATB,1999
This Kiss,Faith Hill,1999
Thank Abba For The Music,Various,1999
(you Drive Me) Crazy,Britney Spears,1999
Lullaby,Shawn Mullins,1999
Shimmer / Sunburn,Fuel,1999
Man I Feel Like A Woman,Shania Twain,1999
Goodbye,Spice Girls,1999
Sweet Like Chocolate,Shanks And Bigfoot,1999
Have You Ever?,Brandy,1999
Honey To The Bee,Billie,1999
"Wild, Wild West",Will Smith,1999
Heartbreaker,Mariah Carey,1999
Look At Me,Geri Halliwell,1999
Fly Away,Lenny Kravitz,1999
No Matter What,Boyzone,1999
She's So High,Tal Bachman,1999
Bailamos,Enrique Iglesias,1999
Zorba's Dance,LCD,1999
Angel Of Mine,Monica,1999
Eternal Flame / Shake You Outta My Head,Human Nature,1999
Baby Did A Bad Bad Thing,Chris Isaak,1999
Say It Once,Ultra,1999
How Do I Deal,Jennifer Love Hewitt,1999
Every Morning,Sugar Ray,1999
Forever,Tina Cousins,1999
Have A Look,Vanessa Amorosi,1999
Strong Enough,Cher,1999
Freak On A Leash,Korn,1999
Can't Take My Eyes Off You / Doo Wop (that Thing),Lauryn Hill,1999
